Gradients do not exist for variables ['tdnn/dense_4/kernel:0', 'tdnn/dense_4/bias:0'] when minimizing the loss. If you're using `model.compile()`, did you forget to provide a `loss`argument?
Gradients do not exist for variables ['tdnn/dense_4/kernel:0', 'tdnn/dense_4/bias:0'] when minimizing the loss. If you're using `model.compile()`, did you forget to provide a `loss`argument?
gstep[100] loss[0.42] lr[9.96e-05]
gstep[200] loss[0.40] lr[9.92e-05]
gstep[300] loss[0.40] lr[9.88e-05]
gstep[400] loss[0.28] lr[9.84e-05]
gstep[500] loss[0.28] lr[9.80e-05]
gstep[600] loss[0.32] lr[9.76e-05]
gstep[700] loss[0.30] lr[9.72e-05]
gstep[800] loss[0.28] lr[9.68e-05]
gstep[900] loss[0.32] lr[9.64e-05]
gstep[1000] loss[0.28] lr[9.60e-05]
model is saved as exps/xvec-small-triplet/model-1000.ckpt
gstep[1100] loss[0.34] lr[9.56e-05]
gstep[1200] loss[0.29] lr[9.52e-05]
gstep[1300] loss[0.31] lr[9.48e-05]
gstep[1400] loss[0.26] lr[9.44e-05]
gstep[1500] loss[0.30] lr[9.41e-05]
gstep[1600] loss[0.26] lr[9.37e-05]
gstep[1700] loss[0.23] lr[9.33e-05]
gstep[1800] loss[0.21] lr[9.29e-05]
gstep[1900] loss[0.26] lr[9.25e-05]
gstep[2000] loss[0.18] lr[9.22e-05]
model is saved as exps/xvec-small-triplet/model-2000.ckpt
gstep[2100] loss[0.17] lr[9.18e-05]
gstep[2200] loss[0.18] lr[9.14e-05]
gstep[2300] loss[0.22] lr[9.10e-05]
gstep[2400] loss[0.19] lr[9.07e-05]
gstep[2500] loss[0.25] lr[9.03e-05]
gstep[2600] loss[0.29] lr[8.99e-05]
gstep[2700] loss[0.18] lr[8.96e-05]
gstep[2800] loss[0.25] lr[8.92e-05]
gstep[2900] loss[0.25] lr[8.88e-05]
gstep[3000] loss[0.21] lr[8.85e-05]
model is saved as exps/xvec-small-triplet/model-3000.ckpt
gstep[3100] loss[0.26] lr[8.81e-05]
gstep[3200] loss[0.15] lr[8.78e-05]
gstep[3300] loss[0.17] lr[8.74e-05]
gstep[3400] loss[0.18] lr[8.70e-05]
gstep[3500] loss[0.17] lr[8.67e-05]
gstep[3600] loss[0.24] lr[8.63e-05]
gstep[3700] loss[0.20] lr[8.60e-05]
gstep[3800] loss[0.22] lr[8.56e-05]
gstep[3900] loss[0.20] lr[8.53e-05]
gstep[4000] loss[0.19] lr[8.49e-05]
model is saved as exps/xvec-small-triplet/model-4000.ckpt
gstep[4100] loss[0.15] lr[8.46e-05]
gstep[4200] loss[0.19] lr[8.42e-05]
gstep[4300] loss[0.17] lr[8.39e-05]
gstep[4400] loss[0.23] lr[8.36e-05]
gstep[4500] loss[0.20] lr[8.32e-05]
gstep[4600] loss[0.20] lr[8.29e-05]
gstep[4700] loss[0.22] lr[8.25e-05]
gstep[4800] loss[0.16] lr[8.22e-05]
gstep[4900] loss[0.33] lr[8.19e-05]
gstep[5000] loss[0.14] lr[8.15e-05]
model is saved as exps/xvec-small-triplet/model-5000.ckpt
gstep[5100] loss[0.19] lr[8.12e-05]
gstep[5200] loss[0.18] lr[8.09e-05]
gstep[5300] loss[0.20] lr[8.05e-05]
gstep[5400] loss[0.12] lr[8.02e-05]
gstep[5500] loss[0.15] lr[7.99e-05]
gstep[5600] loss[0.16] lr[7.96e-05]
gstep[5700] loss[0.23] lr[7.92e-05]
gstep[5800] loss[0.23] lr[7.89e-05]
gstep[5900] loss[0.11] lr[7.86e-05]
gstep[6000] loss[0.22] lr[7.83e-05]
model is saved as exps/xvec-small-triplet/model-6000.ckpt
gstep[6100] loss[0.20] lr[7.80e-05]
gstep[6200] loss[0.16] lr[7.76e-05]
gstep[6300] loss[0.18] lr[7.73e-05]
gstep[6400] loss[0.13] lr[7.70e-05]
gstep[6500] loss[0.21] lr[7.67e-05]
gstep[6600] loss[0.15] lr[7.64e-05]
gstep[6700] loss[0.11] lr[7.61e-05]
gstep[6800] loss[0.19] lr[7.58e-05]
gstep[6900] loss[0.13] lr[7.55e-05]
gstep[7000] loss[0.19] lr[7.51e-05]
model is saved as exps/xvec-small-triplet/model-7000.ckpt
gstep[7100] loss[0.12] lr[7.48e-05]
gstep[7200] loss[0.13] lr[7.45e-05]
gstep[7300] loss[0.15] lr[7.42e-05]
gstep[7400] loss[0.19] lr[7.39e-05]
gstep[7500] loss[0.13] lr[7.36e-05]
gstep[7600] loss[0.18] lr[7.33e-05]
gstep[7700] loss[0.11] lr[7.30e-05]
